player_id,first_name,last_name,team name,oppenent team name,total points predicted
248,Dele,Alli,Everton,Crystal Palace,0.603
249,Abdoulaye,Doucouré,Everton,Crystal Palace,2.253
250,James,Garner,Everton,Crystal Palace,2.108
251,Jean-Philippe,Gbamin,Everton,Crystal Palace,0.603
252,Ben,Godfrey,Everton,Crystal Palace,1.285
253,Demarai,Gray,Everton,Crystal Palace,0.603
254,Idrissa,Gueye,Everton,Crystal Palace,1.172
255,Mason,Holgate,Everton,Crystal Palace,1.285
256,Alex,Iwobi,Fulham,Aston Villa,1.119
257,Michael,Keane,Everton,Crystal Palace,1.198
258,Neal,Maupay,Brentford,Liverpool,1.527
259,Dwight,McNeil,Everton,Crystal Palace,2.128
260,Vitalii,Mykolenko,Everton,Crystal Palace,2.012
261,Amadou,Onana,Everton,Crystal Palace,1.651
262,Nathan,Patterson,Everton,Crystal Palace,0.794
263,Jordan,Pickford,Everton,Crystal Palace,1.853
264,Ellis,Simms,Everton,Crystal Palace,0.488
265,James,Tarkowski,Everton,Crystal Palace,1.685
266,João,Neves Virgínia,Everton,Crystal Palace,0.445
267,Andreas,Hoelgebaum Pereira,Fulham,Aston Villa,1.376
268,Tom,Cairney,Fulham,Aston Villa,1.215
269,Ivan,Neves Abreu Cavaleiro,Fulham,Aston Villa,0.372
270,Bobby,De Cordova-Reid,Fulham,Aston Villa,0.902
271,Issa,Diop,Fulham,Aston Villa,0.446
272,Tyrese,Francois,Fulham,Aston Villa,0.372
273,Anthony,Knockaert,Fulham,Aston Villa,0.372
274,Terence,Kongolo,Fulham,Aston Villa,0.364
275,Bernd,Leno,Fulham,Aston Villa,1.596
276,Saša,Lukić,Fulham,Aston Villa,0.944
277,Kevin,Mbabu,Fulham,Aston Villa,0.364
278,Aleksandar,Mitrović,Fulham,Aston Villa,0.282
279,Rodrigo,Muniz Carvalho,Fulham,Aston Villa,0.952
280,João,Palhinha Gonçalves,Fulham,Aston Villa,1.078
281,Tim,Ream,Fulham,Aston Villa,1.337
282,Harrison,Reed,Fulham,Aston Villa,0.727
283,Antonee,Robinson,Fulham,Aston Villa,1.205
284,Marek,Rodák,Fulham,Aston Villa,0.263
285,Kenny,Tete,Fulham,Aston Villa,0.364
286,Tosin,Adarabioyo,Fulham,Aston Villa,0.364
287,Carlos Vinícius,Alves Morais,Fulham,Aston Villa,0.987
288,Harry,Wilson,Fulham,Aston Villa,1.387
289,Adrián,San Miguel del Castillo,Liverpool,Brentford,0.326
290,Trent,Alexander-Arnold,Liverpool,Brentford,1.372
291,Alisson,Ramses Becker,Liverpool,Brentford,2.206
292,Stefan,Bajcetic,Liverpool,Brentford,0.405
293,Darwin,Núñez Ribeiro,Liverpool,Brentford,1.377
294,Diogo,Teixeira da Silva,Liverpool,Brentford,1.426
295,Harvey,Elliott,Liverpool,Brentford,0.645
296,Fabio Henrique,Tavares,Liverpool,Brentford,0.405
297,Cody,Gakpo,Liverpool,Brentford,0.753
298,Joe,Gomez,Liverpool,Brentford,0.456
299,Jordan,Henderson,Liverpool,Brentford,0.405
300,Curtis,Jones,Liverpool,Brentford,1.159
301,Caoimhin,Kelleher,Liverpool,Brentford,0.326
302,Ibrahima,Konaté,Liverpool,Brentford,1.126
303,Luis,Díaz,Liverpool,Brentford,1.453
304,Alexis,Mac Allister,Liverpool,Brentford,1.239
305,Joel,Matip,Liverpool,Brentford,0.534
306,Nathaniel,Phillips,Liverpool,Brentford,0.536
307,Andrew,Robertson,Liverpool,Brentford,0.725
308,Mohamed,Salah,Liverpool,Brentford,2.643
309,Dominik,Szoboszlai,Liverpool,Brentford,1.924
310,Thiago,Alcántara do Nascimento,Liverpool,Brentford,0.405
311,Konstantinos,Tsimikas,Liverpool,Brentford,0.948
312,Sepp,van den Berg,Liverpool,Brentford,0.536
313,Virgil,van Dijk,Liverpool,Brentford,1.604
314,Elijah,Adebayo,Luton,Man Utd,1.07
315,Mads Juel,Andersen,Luton,Man Utd,0.614
316,Amari'i,Bell,Luton,Man Utd,0.739
317,Luke,Berry,Luton,Man Utd,0.464
318,Reece,Burke,Luton,Man Utd,0.708
319,Allan,Campbell,Luton,Man Utd,0.389
320,Jordan,Clark,Luton,Man Utd,0.389
321,Alfie,Doughty,Luton,Man Utd,1.249
322,Luke,Freeman,Luton,Man Utd,0.389
323,Matt,Macey,Luton,Man Utd,0.31
324,John,McAtee,Luton,Man Utd,0.28
325,Carlos,Mendes Gomes,Luton,Man Utd,0.389
326,Carlton,Morris,Luton,Man Utd,1.576
327,Admiral,Muskwe,Luton,Man Utd,0.28
328,Chiedozie,Ogbene,Luton,Man Utd,1.795
329,Fred,Onyedinma,Luton,Man Utd,0.389
330,Gabriel,Osho,Luton,Man Utd,0.717
331,Aribim,Pepple,Luton,Man Utd,0.28
332,Dion,Pereira,Luton,Man Utd,0.389
333,Dan,Potts,Luton,Man Utd,0.427
334,Glen,Rea,Luton,Man Utd,0.389
335,James,Shea,Luton,Man Utd,0.31
336,Joe,Taylor,Luton,Man Utd,0.28
337,Elliot,Thorpe,Luton,Man Utd,0.389
338,Jack,Walton,Luton,Man Utd,0.31
339,Louie,Watson,Luton,Man Utd,0.389
340,Cauley,Woodrow,Luton,Man Utd,0.836
341,Manuel,Akanji,Man City,Chelsea,1.124
342,Nathan,Aké,Man City,Chelsea,1.064
343,Julián,Álvarez,Man City,Chelsea,1.776
344,Bernardo,Veiga de Carvalho e Silva,Man City,Chelsea,1.35
345,Oscar,Bobb,Man City,Chelsea,1.26
346,João,Cancelo,Man City,Chelsea,0.364
347,Scott,Carson,Man City,Chelsea,0.263
348,Shea,Charles,Man City,Chelsea,0.372
349,Kevin,De Bruyne,Man City,Chelsea,0.372
350,Rúben,Gato Alves Dias,Man City,Chelsea,1.15
351,Tommy,Doyle,Wolves,Spurs,0.731
352,Ederson,Santana de Moraes,Man City,Chelsea,1.686
353,Phil,Foden,Man City,Chelsea,2.422
354,Jack,Grealish,Man City,Chelsea,0.945
355,Erling,Haaland,Man City,Chelsea,2.437
356,Mateo,Kovačić,Man City,Chelsea,1.176
357,Aymeric,Laporte,Man City,Chelsea,0.364
358,Rico,Lewis,Man City,Chelsea,0.368
359,Riyad,Mahrez,Man City,Chelsea,0.372
360,James,McAtee,Sheffield Utd,Brighton,1.232
361,Stefan,Ortega Moreno,Man City,Chelsea,0.456
362,Cole,Palmer,Chelsea,Man City,2.301
363,Máximo,Perrone,Man City,Chelsea,0.372
364,Kalvin,Phillips,Man City,Chelsea,0.581
365,Rodrigo,Hernandez,Man City,Chelsea,1.109
366,Sergio,Gómez,Man City,Chelsea,0.364
367,Zack,Steffen,Man City,Chelsea,0.263
368,John,Stones,Man City,Chelsea,1.351
369,Kyle,Walker,Man City,Chelsea,1.796
370,Alex,Telles,Man Utd,Luton,1.441
371,Amad,Diallo,Man Utd,Luton,0.635
372,Antony Matheus,dos Santos,Man Utd,Luton,1.255
373,Bruno,Borges Fernandes,Man Utd,Luton,2.126
374,Brandon,Williams,Man Utd,Luton,1.441
375,Eric,Bailly,Man Utd,Luton,1.441
376,Carlos Henrique,Casimiro,Man Utd,Luton,1.35
377,Diogo,Dalot Teixeira,Man Utd,Luton,2.034
378,Anthony,Elanga,Nott'm Forest,West Ham,1.129
379,Christian,Eriksen,Man Utd,Luton,1.514
380,Álvaro,Fernández Carreras,Man Utd,Luton,1.441
