gameWeek,minutes_played_last5,clean_sheets_last5,bps_last5,player_starts_last5,expected_goals_last5,expected_assists_last5,expected_goal_involvements_last5,expected_goals_conceded_last5,total_points_last5,difficulty,is_home_team,player_type_1,player_type_2,player_type_3,player_type_4
5,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,0,1,0
5,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,0,1,0,0
9,2.995732273553991,0.0,2.0794415416798357,0.1823215567939546,0.0,0.001998002662673058,0.001998002662673058,0.4712528486461674,0.8754687373538999,2,0,0,1,0,0
9,3.5085558999826545,0.1823215567939546,2.2407096892759584,0.3364722366212129,0.0,0.04688358589885046,0.04688358589885046,0.33217731233833225,1.1631508098056809,2,0,0,1,0,0
11,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,0,1,0,0
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,0,0,1,0
8,2.2407096892759584,0.0,1.791759469228055,0.0,0.007968169649176881,0.001998002662673058,0.009950330853168092,0.24842135849847832,1.0296194171811581,4,1,0,0,1,0
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,1,0,0,0
2,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,0,1,0,0
9,3.1945831322991562,0.0,2.451005098112319,0.1823215567939546,0.0,0.09712671073072282,0.09712671073072282,0.25773819607870885,1.33500106673234,4,0,0,1,0,0
4,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,0,0,1
4,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,0,1,0,0
11,3.5085558999826545,0.0,1.7227665977411035,0.3364722366212129,0.050693114315518165,0.015873349156290163,0.06578774053800295,0.3450071390710503,1.0296194171811581,2,1,0,0,1,0
11,3.828641396489095,0.1823215567939546,2.379546134130174,0.47000362924573563,0.015873349156290163,0.06391332574365285,0.07881118042428985,0.5630384952129249,1.0986122886681098,2,1,0,0,1,0
8,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,0,1,0,0
7,4.51085950651685,0.1823215567939546,2.995732273553991,0.6931471805599453,0.02176149178151271,0.08250122151174377,0.10255658832509215,0.9138878472578447,1.33500106673234,4,0,0,0,1,0
10,3.4531571205928664,0.0,2.3978952727983707,0.1823215567939546,0.0,0.050693114315518165,0.050693114315518165,0.412109650826833,1.0986122886681098,2,0,0,0,1,0
4,3.8066624897703196,0.0,1.791759469228055,0.5108256237659906,0.0,0.048790164169431834,0.048790164169431834,0.7047463164032972,1.203972804325936,2,1,0,0,0,1
2,3.295836866004329,0.0,2.302585092994046,0.0,0.23901690047049992,0.0,0.23901690047049992,0.9707789171582247,0.6931471805599453,2,1,0,1,0,0
2,4.51085950651685,0.0,2.6390573296152584,0.6931471805599453,0.02955880224154443,0.01980262729617973,0.04879016416943204,1.4906543764441333,1.3862943611198906,2,1,0,0,1,0
6,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,0,0,0,1
4,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,0,0,1,0
8,2.028148247292285,0.0,1.6094379124341003,0.0,0.05259245011917063,0.003992021269537457,0.05638033343610769,0.050693114315518165,0.8754687373538999,4,0,0,0,0,1
6,3.339321977944068,0.0,2.533696813957432,0.1823215567939546,0.211880359035499,0.050693114315518165,0.2530906276821619,0.4799539600989037,1.5260563034950492,3,0,0,0,1,0
11,3.9512437185814275,0.1823215567939546,2.681021528714291,0.47000362924573563,0.0,0.05638033343610769,0.05638033343610769,0.6554453133759337,1.4350845252893227,2,1,0,1,0,0
6,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,0,0,1,0
3,4.034240638152395,0.0,2.302585092994046,0.4054651081081644,0.0,0.0,0.0,0.7770286645406473,1.252762968495368,5,1,0,1,0,0
2,1.6094379124341003,0.0,3.1354942159291497,0.0,0.0,0.25464221837358075,0.25464221837358075,0.27763173659827955,1.791759469228055,5,0,0,0,1,0
4,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,1,0,0,0
11,3.407841924380824,0.0,2.0014800002101243,0.3364722366212129,0.005982071677547469,0.015873349156290163,0.02176149178151271,0.2806574575148165,0.8754687373538999,5,0,0,0,1,0
4,4.473541743509655,0.0,3.295836866004329,0.6931471805599453,0.19611487892629037,0.2725684346417327,0.425267735404344,1.169381359556317,1.8458266904983307,4,1,0,0,1,0
2,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,1,0,0,1,0
4,4.238925791033208,0.28768207245178085,2.70805020110221,0.6931471805599453,0.0,0.08311490671050659,0.08311490671050659,0.8642954367557746,1.2992829841302609,4,1,0,0,1,0
9,3.9740583963475986,0.1823215567939546,2.5649493574615367,0.5877866649021191,0.007968169649176881,0.013902905168991434,0.02176149178151271,0.6302073807860712,1.33500106673234,2,1,0,1,0,0
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,1,0,0,0
2,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,5,0,0,0,1,0
9,4.290459441148391,0.0,2.5494451709255714,0.6931471805599453,0.071389996086673,0.011928570865273812,0.08250122151174377,0.7476353658440151,1.2809338454620642,2,0,0,1,0,0
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,0,0,1,0
